,age,age_diff,zodiac,zodiac_sp,num_of_child_cl,num_of_child_sp_cl,num_of_role,num_of_role_sp,geo_distance,age_m_1,age_m_sp_1,sex
0,58.81024251011314,0.4766356358881447,6.0,5.688524590163935,2.0,2.2444113263785397,5.0,2.5119418483904465,12066431.412524851,19.0,28.60024154589372,1
1,64.77614187834111,-2.1656844425279096,7.0,9.0,2.0,2.0,1.0,1.0,20000000.0,28.0,26.0,1
2,70.35754596311341,0.4766356358881447,5.583222811671088,5.688524590163935,2.0,2.2444113263785397,3.0,2.5119418483904465,12066431.412524851,30.055906821963394,28.60024154589372,1
3,70.35754596311341,0.4766356358881447,5.583222811671088,5.688524590163935,2.310054482417038,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,30.055906821963394,28.60024154589372,1
4,31.46676523131893,0.4766356358881447,10.0,5.688524590163935,2.310054482417038,2.2444113263785397,3.0,2.5119418483904465,12066431.412524851,26.0,28.60024154589372,1
5,79.53619855301616,0.4766356358881447,10.0,5.688524590163935,2.0,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,23.0,28.60024154589372,1
6,47.44245261709686,0.4766356358881447,11.0,5.688524590163935,2.0,2.0,1.0,1.0,20000000.0,34.0,28.60024154589372,1
7,41.18359719912113,-1.04588047666961,2.0,2.0,3.0,3.0,2.0,1.0,625441.0,32.0,31.0,1
8,98.77273318411741,0.4766356358881447,7.0,5.688524590163935,2.310054482417038,2.2444113263785397,2.424037812288994,2.5119418483904465,12066431.412524851,25.0,28.60024154589372,1
9,96.06768106121277,0.4766356358881447,3.0,5.688524590163935,7.0,2.2444113263785397,5.0,2.5119418483904465,12066431.412524851,24.0,28.60024154589372,1
10,100.19370692074443,0.4766356358881447,2.0,5.688524590163935,2.0,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,38.0,28.60024154589372,1
11,87.82658097017735,-5.993278438297844,6.0,6.0,2.0,2.0,2.0,2.5119418483904465,20000000.0,28.0,22.0,1
12,76.62854131159435,0.4766356358881447,8.0,5.688524590163935,2.310054482417038,2.2444113263785397,5.0,2.5119418483904465,12066431.412524851,26.0,28.60024154589372,1
13,49.18923728755554,0.4766356358881447,2.0,5.688524590163935,3.0,2.2444113263785397,3.0,2.5119418483904465,12066431.412524851,26.0,28.60024154589372,1
14,58.64323018268684,0.4766356358881447,8.0,5.688524590163935,2.310054482417038,2.2444113263785397,2.0,2.5119418483904465,12066431.412524851,39.0,28.60024154589372,1
15,105.75713395894509,-3.734505157532325,7.0,4.0,2.310054482417038,2.0,1.0,2.0,20000000.0,53.0,28.60024154589372,1
16,50.021561017680035,-8.101466833678995,4.0,5.0,1.0,1.0,1.0,1.0,5003530.0,37.0,29.0,1
17,116.01059570011705,-7.2636672895405106,4.0,7.0,1.0,1.0,2.0,1.0,625441.0,35.0,28.60024154589372,1
18,52.411753834780995,0.4766356358881447,11.0,5.688524590163935,2.310054482417038,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,27.0,28.60024154589372,1
19,33.30116292600122,0.4766356358881447,0.0,5.688524590163935,2.310054482417038,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,29.0,28.60024154589372,1
20,46.72512098126587,0.3285488408386209,7.0,3.0,3.0,3.0,1.0,3.0,5003530.0,33.0,28.0,1
21,43.73532652963442,-3.3292949204980253,7.0,11.0,2.0,2.0,1.0,3.0,5003530.0,31.0,28.0,1
22,98.26348248081754,0.4766356358881447,1.0,5.688524590163935,3.0,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,24.0,28.60024154589372,1
23,94.2907794136772,0.4766356358881447,1.0,5.688524590163935,2.310054482417038,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,32.0,28.60024154589372,1
24,92.95194288725985,0.4766356358881447,5.0,5.688524590163935,3.0,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,26.0,28.60024154589372,1
25,132.58862262743247,0.4766356358881447,9.0,5.688524590163935,2.310054482417038,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,33.0,28.60024154589372,1
26,68.20947726510471,12.213803158175732,2.0,11.0,2.310054482417038,1.0,1.0,1.0,20000000.0,27.0,27.0,1
27,110.2582530784342,0.4766356358881447,1.0,5.688524590163935,5.0,2.2444113263785397,1.0,2.5119418483904465,12066431.412524851,22.0,28.60024154589372,1
